"fico_range_low","fico_range_high","installment","int_rate","loan_amnt","annual_inc"
690,694,633.72,20.49,23675,61000
760,764,158.77,8.9,5000,55000
670,674,424.94,14.33,12375,60560
670,674,367.39,13.67,10800,49000
665,669,598.89,12.12,18000,45000
665,669,509.76,16.49,14400,68000
705,709,205.52,9.67,6400,40000
675,679,659.81,11.53,20000,57600
660,664,312.55,19.19,12000,36000
715,719,306.12,13.66,9000,170000
660,664,260.91,12.49,7800,90000
750,754,279.1,13.98,12000,3e+05
660,664,375.94,17.99,10400,40000
745,749,327.34,10.99,10000,49200
670,674,117,10.49,3600,60000
755,759,216.18,10.75,10000,89000
680,684,446.21,14.3,13000,62500
745,749,661.85,8.39,21000,127500
720,724,815.19,17.57,32400,67000
710,714,95.26,8.9,3000,40000
760,764,551.44,10.16,17050,38400
665,669,348.29,14.98,10050,50000
720,724,1188.25,13.53,35000,104000
670,674,240.22,9.49,7500,32000
660,664,178.92,16.55,5050,65000
685,689,62.37,13.99,1825,40000
660,664,76.59,22.2,2000,65500
685,689,118.44,11.34,7500,35000
660,664,157.81,18.25,4350,35000
710,714,693.51,13.11,20550,55000
680,684,265.97,7.9,8500,140000
680,684,201.74,12.85,6000,60000
705,709,343.36,19.52,9300,177300
695,699,330.57,11.67,10000,72000
675,679,465.27,13.99,20000,60000
665,669,798.51,16.99,22400,56000
680,684,278.19,15.22,8000,73672
665,669,641.83,13.33,28000,78000
700,704,317.54,8.9,10000,50000
670,674,257.67,17.27,7200,55000
665,669,542.52,23.63,19000,52000
695,699,528,11.55,16000,67000
690,694,537.04,23.13,19000,45000
665,669,563.24,22.95,20000,102000
690,694,301.15,5.32,10000,132000
695,699,380.5,22.99,13500,45000
715,719,699.3,15.61,20000,74000
690,694,749.94,17.27,30000,89000
705,709,119.77,15.31,5000,60000
720,724,457.25,8.9,14400,157500
770,774,105.57,11.53,3200,40000
730,734,819.78,11.11,25000,72000
660,664,263.93,11.53,8000,115000
705,709,388.11,10.16,12000,45000
660,664,258.1,9.99,8000,55000
660,664,544.96,19.47,20800,123500
675,679,568.7,12.99,25000,117000
745,749,483.94,9.99,15000,75000
665,669,289.21,15.59,12000,60000
695,699,552.46,14.72,16000,1e+05
680,684,424.98,17.27,11875,35000
735,739,225.84,9.99,7000,105000
695,699,232.06,10.16,7175,50000
670,674,100.35,12.49,3000,28800
695,699,882.47,8.39,28000,95000
685,689,410.02,13.98,12000,75580
675,679,942.94,20.8,35000,1e+05
680,684,914.91,14.98,26400,125000
665,669,642.06,18.55,17625,70000
710,714,638.25,18.25,25000,103000
765,769,924.81,6.89,30000,5e+05
680,684,595.33,19.99,22475,45000
675,679,34.01,13.65,1000,25000
670,674,127.97,15.8,3650,43000
755,759,309.34,15.99,8800,65000
735,739,370.72,10.99,11325,33000
735,739,476.3,8.9,15000,78900
730,734,688.39,7.9,22000,75000
675,679,654.68,10.99,20000,124000
690,694,157.65,11.22,4800,80000
695,699,1115.77,9.17,35000,149000
670,674,556.19,13.67,16350,54000
665,669,547.95,18.75,15000,75000
710,714,235.83,12.99,7000,36000
685,689,164.96,11.53,5000,28000
665,669,131.97,11.53,4000,52000
795,799,182.62,6.03,6000,48000
690,694,207.74,20.25,7800,95000
695,699,925.91,6.97,30000,183136
665,669,399.26,12.12,12000,115000
665,669,388.07,15.88,16000,73000
780,784,321.86,6.03,10575,51000
660,664,109.86,14.31,3200,37000
695,699,348.18,15.31,10000,33280
755,759,467.43,7.62,15000,70000
715,719,94.93,10.99,2900,45000
670,674,564.1,16.2,16000,62000
760,764,175.3,15.8,5000,26004
680,684,872.48,17.14,35000,269156
670,674,229.04,17.27,6400,28000
725,729,241.57,10.36,18000,57000
680,684,423.07,18.24,16575,78000
745,749,50.87,6.89,1650,75000
705,709,450.58,7.9,14400,145000
680,684,222.89,19.97,6000,32000
695,699,684.68,13.33,20225,46000
680,684,110.97,14.47,3225,65000
705,709,517.41,10.15,16000,95000
710,714,1139.9,10.64,35000,106000
765,769,187.75,7.9,6000,68000
695,699,602.3,5.32,20000,145000
780,784,121.38,7.9,6000,85000
680,684,90.55,10.15,2800,2e+05
685,689,316.26,11.44,14400,55000
665,669,387.78,23.13,10000,40000
735,739,314.96,9.49,15000,52000
770,774,91.8,6.39,3000,36000
705,709,401.97,12.59,12000,80000
790,794,161.25,12.79,4800,35000
660,664,66.9,12.49,2000,1e+05
750,754,159.38,9.16,5000,32000
665,669,175.93,14.65,5100,52120
695,699,269.98,13.11,8000,39000
665,669,534.43,18.55,20800,70000
665,669,323.83,6.92,10500,65000
675,679,342.22,14.09,10000,50000
680,684,68.52,14.16,2000,60000
710,714,345.78,24.08,12000,82000
715,719,35.26,16.2,1000,56447
675,679,471.3,8.18,15000,98000
720,724,352.25,17.57,14000,55000
685,689,684.26,14.98,28775,60000
680,684,431.18,17.56,12000,70000
675,679,599.31,18.25,23475,56000
820,824,289.11,5.32,9600,130000
715,719,330.27,11.55,15000,139000
670,674,125.77,17.56,3500,40250
750,754,368.45,6.62,12000,90000
735,739,382.63,12.12,11500,35226.71
660,664,287.5,17.57,8000,85000
675,679,293.67,16.29,12000,37000
660,664,660.99,14.65,28000,87000
715,719,747.88,7.62,24000,88000
665,669,362.78,18.25,10000,53500
700,704,792.88,24.11,27500,55000
665,669,263.58,11.44,8000,66000
710,714,395.37,11.44,12000,42000
690,694,143.75,17.57,4000,60000
740,744,750.97,7.9,24000,84500
725,729,232.84,14.65,6750,36000
695,699,186.97,7.62,6000,140000
665,669,425.16,16.55,12000,55000
675,679,539.03,12.99,16000,150000
685,689,523.31,13.98,22500,60000
685,689,1006.24,17.57,28000,140000
690,694,764.05,17.86,21175,55203
775,779,623.23,7.62,20000,75000
725,729,520.52,15.31,14950,43000
670,674,243.73,15.31,7000,32000
775,779,498.59,7.62,16000,83000
665,669,169.45,16.29,4800,95000
695,699,540.96,20.99,20000,75000
680,684,330.63,13.99,9675,65000
680,684,358.05,11.55,10850,32752
690,694,419.33,18.25,16425,33000
710,714,577.44,13.67,25000,141000
675,679,637.58,9.17,20000,1e+05
715,719,768.28,6.68,25000,65000
675,679,314.2,8.18,10000,106839
680,684,445.46,13.11,13200,84000
735,739,171.62,14.3,5000,20416.32
675,679,273.32,16.99,11000,57500
675,679,374.9,15.59,10725,1e+05
680,684,298.35,13.99,12825,44000
695,699,629.37,15.61,18000,55000
665,669,895.88,18.54,34875,95000
710,714,385.58,9.71,12000,96000
680,684,512.52,13.98,15000,3e+05
660,664,293.71,15.61,8400,177000
685,689,245.51,10.99,7500,28000
720,724,690.41,12.29,20700,45000
760,764,774.1,18.75,30000,70000
680,684,572.6,17.27,16000,55000
705,709,747.88,7.62,24000,164700
725,729,111.81,7.39,3600,148000
690,694,194.6,23.4,5000,96000
695,699,306.36,18.25,12000,105000
770,774,547.84,6.03,18000,70000
680,684,536.81,17.27,15000,38000
750,754,177.89,10.16,5500,36500
685,689,92.8,7.12,3000,14000
740,744,730.46,6.03,24000,175000
810,814,334.8,6.03,11000,190000
660,664,181.3,18.21,5000,45000
680,684,328.67,24.99,11200,60000
680,684,207.95,12.12,6250,55000
710,714,193.27,9.88,6000,120000
765,769,156.6,5.32,5200,43000
710,714,665.44,12.12,20000,112215.93
705,709,762.92,24.08,19425,90000
710,714,160.51,9.64,5000,130000
745,749,780.71,10.99,23850,75000
690,694,263.93,11.53,8000,55000
700,704,318.49,9.62,9925,88000
685,689,674.94,13.11,20000,65000
665,669,522.5,23.83,18225,50000
675,679,420.71,15.8,12000,52000
750,754,250.33,7.9,8000,45852
690,694,306.3,18.24,12000,85000
670,674,436.79,18.49,12000,50000
715,719,425.55,10.99,13000,59000
710,714,456.54,6.03,15000,57000
680,684,882.47,8.39,28000,135000
660,664,291.44,18.55,8000,95000
670,674,392.81,10.99,12000,68000
660,664,275.96,14.65,8000,1e+05
735,739,524.68,6.97,17000,83000
715,719,516.1,14.47,15000,85000
695,699,213.89,16.99,6000,37500
675,679,693.21,14.99,20000,90000
750,754,477.21,18.99,18400,51000
670,674,474.7,8.67,15000,57000
665,669,328.43,11.22,10000,80000
675,679,454.96,12.99,20000,95000
690,694,232.92,11.14,7100,26880
665,669,303.81,17.86,12000,50000
710,714,330.24,8.9,10400,48000
670,674,289.47,16.29,8200,50000
685,689,721.54,8.67,22800,105000
700,704,458.25,16.29,18725,42588
665,669,369.5,11.53,11200,75000
670,674,401.12,21.15,10625,70000
665,669,168.45,12.99,5000,25000
695,699,628.39,8.18,20000,85000
685,689,396.69,11.67,12000,80000
660,664,755.74,16.99,21200,67000
680,684,133.53,12.35,4000,73882
685,689,284.41,14.83,12000,48000
710,714,476.3,8.9,15000,95000
670,674,249.13,15.61,7125,25000
760,764,482.32,9.76,15000,114000
715,719,330.57,11.67,10000,67000
715,719,270.98,9.17,8500,75000
675,679,566.56,14.65,24000,145000
670,674,870.95,11.53,26400,92500
725,729,249.83,9.49,7800,75000
725,729,614.08,6.62,20000,160000
665,669,554.57,14.99,16000,40000
675,679,312.55,19.19,12000,1e+05
685,689,821.58,20.99,30375,1e+05
665,669,407.64,12.99,12100,64700
690,694,379.63,24.08,13175,44000
680,684,190.52,8.9,6000,63648
710,714,1176.83,23.99,30000,110000
705,709,479.84,16.78,13500,55000
665,669,418.12,12.49,12500,33000
710,714,381.55,8.99,12000,98000
675,679,651.84,13.53,19200,170000
725,729,315.17,8.39,10000,86000
670,674,332.72,12.12,10000,500009
660,664,453.05,20.99,16750,42000
695,699,678.87,21.18,25000,109096
680,684,197.95,11.53,6000,60000
675,679,304.2,17.27,8500,25000
685,689,106.47,12.12,3200,60000
700,704,614.62,6.68,20000,147800
660,664,119.05,13.66,3500,60000
675,679,305.75,18.49,8400,98000
745,749,381.64,6.24,12500,72000
660,664,553.84,11.48,16800,40000
730,734,456.54,6.03,15000,136524
665,669,580.45,18.25,16000,103000
695,699,697.9,13.99,30000,97000
670,674,772.17,9.8,24000,120000
735,739,696.19,8.9,21925,55000
705,709,254.03,8.9,8000,68000
665,669,667.06,12.29,20000,150000
685,689,994.73,23.4,35000,175000
670,674,172.09,14.49,5000,62000
705,709,635.07,8.9,20000,90000
735,739,440.16,11.53,20000,84400
710,714,183.71,11.14,5600,55000
690,694,288.3,17.77,8000,28350
665,669,108.36,17.93,3000,42000
700,704,982.02,10.99,30000,2e+05
735,739,158.77,8.9,5000,35000
695,699,654.68,10.99,20000,51000
695,699,129.07,10,4000,26004
685,689,359.38,17.57,10000,102000
700,704,582.26,29.99,18000,75000
680,684,157.56,8.38,5000,49000
710,714,386.66,6,20000,70000
710,714,179.94,9.71,5600,50000
675,679,255.72,11.99,7700,57000
720,724,332.72,12.12,10000,56000
660,664,787.43,12.39,23575,120000
735,739,644.78,6.62,21000,75000
670,674,285.19,16.99,8000,64000
705,709,259.99,11.14,7925,58303
705,709,581.09,15.8,24000,62000
685,689,854.2,13.98,25000,94910
690,694,340.23,13.68,10000,55000
710,714,202.76,7.69,6500,71000
675,679,507.23,17.77,14075,42000
660,664,378.95,17.76,15000,75000
665,669,450.53,14.98,13000,47500
665,669,538.99,17.56,15000,45000
725,729,531.94,7.9,17000,90001
685,689,332.1,11.99,10000,50000
690,694,536.7,16.99,21600,95000
700,704,249.98,17.27,10000,50000
670,674,585.74,24.89,20000,120000
670,674,38.56,15.58,1600,110000
685,689,406.66,13.99,11900,85000
670,674,130.57,15.31,3750,30000
710,714,521.7,10.99,24000,78000
745,749,77.19,6.99,2500,48500
715,719,197.95,11.53,6000,58681
715,719,694.2,11.67,21000,124000
725,729,635.07,8.9,20000,57000
685,689,166.77,12.29,5000,73928
675,679,540.56,17.77,15000,90000
725,729,457.26,12.85,13600,125000
785,789,304.36,6.03,10000,47000
710,714,166.05,11.99,5000,15372
695,699,155.23,10.15,4800,55000
745,749,372.12,7.29,12000,115000
765,769,185.19,6.97,6000,45000
710,714,335.56,10.16,10375,55000
670,674,511.19,13.33,15100,71500
685,689,275.72,14.59,8000,41600
720,724,357.95,12.99,10625,45800
725,729,257.2,9.75,8000,198000
725,729,393.85,13.99,11525,40536
745,749,239.21,13.99,7000,87000
715,719,557.69,11.14,17000,48300
680,684,143.73,14.09,4200,35000
675,679,1257.8,17.57,35000,123000
660,664,1030.15,14.33,30000,136500
725,729,335.56,10.16,10375,30000
665,669,513.65,18.55,14100,36000
675,679,485.07,10.15,15000,450000
710,714,522.66,9.99,16200,60000
675,679,560.84,11.53,17000,50630
700,704,311.71,25.57,10500,72000
720,724,772.29,18.64,30000,61000
680,684,310.47,14.85,8975,59000
705,709,341.22,12.99,15000,65000
715,719,456.91,13.18,20000,83000
690,694,357.88,17.27,10000,56000
660,664,931.19,20.2,35000,95000
670,674,997.38,15.61,28525,72000
675,679,94.18,20.99,2500,65000
685,689,42.19,15.99,1200,71000
695,699,588.04,19.99,15825,36000
670,674,57.85,11.66,3000,33000
725,729,442.43,16.49,18000,94000
685,689,251.59,12.69,7500,32000
715,719,1262.88,17.86,35000,92000
700,704,341.09,14.49,14500,75000
665,669,314.2,8.18,10000,69000
735,739,1412.02,16.29,40000,2e+05
660,664,510.27,13.67,15000,53000
675,679,171.7,14.33,5000,52000
660,664,349.65,15.61,10000,43981.92
735,739,635.07,8.9,20000,68000
690,694,665.44,12.12,20000,60000
730,734,277.71,7.9,8875,45000
710,714,393.67,11.14,12000,129000
700,704,271.08,12.68,12000,60000
705,709,422.36,7.89,13500,72600
730,734,125.17,7.9,4000,180000
690,694,343.39,14.33,10000,65000
665,669,478.9,20.49,12800,40000
690,694,100.06,12.29,3000,36196
665,669,227.88,15.8,6500,40000
710,714,81,13.11,2400,38000
695,699,402.57,17.57,16000,70000
700,704,615.11,13.99,18000,180000
675,679,580.73,9.99,18000,73400
665,669,141.8,16.59,4000,74000
680,684,354.03,14.64,15000,50000
725,729,187.75,7.9,6000,65000
705,709,85.36,17.57,2375,5440
690,694,1195.88,13.98,35000,85000
690,694,708.08,13.05,21000,85000
670,674,349.65,15.61,10000,59563
730,734,856.54,16.29,35000,115000
690,694,321.13,9.67,10000,90000
680,684,583.5,15.61,24200,73200
670,674,212.58,16.55,6000,44000
670,674,282.09,14.46,12000,48000
725,729,398.52,11.99,12000,85000
685,689,230.98,13.67,10000,65000
660,664,253.04,17.99,7000,31000
695,699,750.97,7.9,24000,1e+05
670,674,972.01,15.1,28000,150000
750,754,623.23,7.62,20000,74000
665,669,665.14,20.2,25000,85000
690,694,815.45,16.99,22875,52032
680,684,1025.05,24.89,35000,120000
705,709,452.89,17.57,18000,70000
730,734,444.19,13.98,13000,90000
725,729,263.7,11.47,8000,130800
715,719,365.96,8.9,11525,102000
665,669,704.62,22.99,25000,157595
685,689,424.23,8.19,13500,55831
660,664,387.66,19.52,10500,62000
670,674,328.06,13.99,9600,52000
695,699,1043.78,25.8,35000,250000
665,669,168.45,12.99,5000,54000
725,729,622.66,17.1,25000,120000
700,704,173.1,12.49,5175,65000
685,689,476.25,13.67,14000,70000
675,679,203.7,13.53,6000,106000
710,714,87.07,18.25,2400,30000
670,674,427.78,16.99,12000,72800
695,699,499.08,12.12,15000,140000
710,714,637.41,6.49,20800,104679
690,694,519.37,19.05,20000,150000
695,699,349.43,18.49,9600,75000
685,689,256.78,15.31,7375,45000
700,704,268.7,12.29,12000,75500
680,684,310.49,10.16,9600,124000
790,794,622.22,7.51,20000,95000
665,669,242.57,12.99,7200,78900
680,684,102.67,14.09,3000,43000
690,694,379.39,11.53,11500,34827
680,684,244.69,15.59,7000,60000
680,684,459.28,11.14,14000,65000
740,744,412.8,8.9,13000,60000
730,734,250.25,7.88,8000,60000
675,679,117.85,10.99,3600,40000
715,719,439.24,15.59,18225,52000
785,789,180.69,5.32,6000,150000
680,684,449.86,12.49,20000,110000
680,684,826.43,11.67,25000,95000
690,694,1235.52,16.29,35000,138000
730,734,317.72,8.94,10000,88000
770,774,863.16,6.89,28000,90000
680,684,880.87,21.99,31900,1e+05
815,819,213.05,6.03,7000,46800
660,664,423.61,16.29,12000,60000
800,804,386.54,6.03,12700,76000
710,714,640.57,9.49,20000,84000
770,774,120.64,5.42,4000,50000
755,759,938.57,7.89,30000,102000
700,704,171.62,14.3,5000,52000
760,764,320.94,9.63,10000,22000
765,769,270.2,6.62,8800,48000
660,664,342.56,14.16,10000,49700
680,684,584.02,23.43,15000,62000
670,674,665.44,12.12,20000,80000
685,689,546.69,13.98,16000,70000
705,709,718.65,14.09,21000,56000
675,679,404.61,16.99,11350,45000
775,779,730.46,6.03,24000,82000
670,674,422.78,22.99,15000,66000
705,709,649.15,20.99,24000,81000
660,664,545.61,16.55,15400,55034
685,689,433.75,12.99,12875,45000
785,789,736.89,6.62,24000,132000
765,769,459.67,6.49,15000,67000
705,709,507.8,11.67,23000,56000
680,684,646.76,10.15,20000,95000
685,689,79.7,9.17,2500,120000
725,729,718.59,15.31,30000,65000
710,714,327.34,10.99,10000,91000
810,814,642.89,10.37,30000,60000
705,709,612.89,6.49,20000,125000
740,744,195.42,10.64,6000,46000
750,754,688.39,7.9,22000,60000
705,709,329.48,11.44,10000,50000
685,689,546.95,19.19,21000,127000
670,674,339.42,18.49,9325,28800
735,739,227.82,7.49,10000,105000
700,704,395.89,11.53,12000,275000
725,729,324.07,14.99,13625,38000
660,664,455.76,15.8,13000,44000
675,679,706.01,16.29,20000,87000
685,689,1160.9,18.25,32000,138000
685,689,794.65,19.99,30000,99000
675,679,676.78,10.99,20675,82000
705,709,314.93,11.14,9600,52000
750,754,68.04,13.67,2000,42000
725,729,757.31,18.25,20875,120000
680,684,466.95,12.29,14000,54000
690,694,467.43,19.05,18000,95000
740,744,889.09,8.9,28000,90000
710,714,594.45,22.45,21325,51000
710,714,351.08,9.25,11000,45000
755,759,754.07,8.18,24000,118000
670,674,183.45,12.29,5500,31200
680,684,593.06,11.44,18000,82000
720,724,363.97,12.99,16000,90000
690,694,399.26,12.12,12000,1e+05
715,719,361.99,8.9,11400,55000
720,724,396.46,16.29,16200,67000
675,679,42.37,16.29,1200,30000
770,774,387.15,9.99,12000,49000
690,694,543.44,10.99,25000,73000
695,699,517.42,14.65,15000,88000
775,779,225.93,16.29,6400,20000
740,744,258.1,9.99,8000,58200
760,764,431.58,6.89,14000,90000
705,709,1196.05,13.99,35000,114000
675,679,524.89,11.14,16000,56000
745,749,748.65,7.69,24000,120000
755,759,185.05,6.92,6000,50000
695,699,489.38,19.99,18475,42000
710,714,440.18,14.16,18850,85000
680,684,267.14,12.59,7975,21000
660,664,316.49,14.65,9175,22000
665,669,398.52,11.99,12000,42000
695,699,96.09,9.49,3000,65000
670,674,706.31,17.86,19575,82368
665,669,316.38,16.99,8875,43000
695,699,774.64,25.8,25975,62000
685,689,317.54,8.9,10000,95000
715,719,278.54,15.31,8000,36680
675,679,510.2,13.66,15000,54000
680,684,177.86,10.15,5500,43000
740,744,371.96,7.26,12000,88030
745,749,599.7,8.49,19000,1e+05
685,689,332.72,12.12,10000,70830
670,674,533.65,12.29,16000,69000
730,734,180.56,9.99,8500,43200
715,719,550.14,13.33,24000,53000
750,754,237.96,6.62,7750,70000
690,694,264.46,11.67,8000,57000
690,694,966.07,21.97,35000,120000
660,664,270.83,13.33,8000,43000
755,759,122.82,6.62,4000,144000
665,669,611.1,13.53,18000,80000
660,664,289.37,18.49,7950,37000
700,704,471.65,12.99,14000,91794
740,744,152.18,6.03,5000,60000
700,704,169.89,14.65,4925,18000
715,719,839.71,12.99,24925,55764
670,674,434.63,14.65,12600,30000
705,709,597.57,6.49,19500,48000
705,709,196.41,10.99,6000,74000
665,669,376.59,23.99,9600,70000
760,764,400.24,12.29,12000,100384
725,729,491.01,10.99,15000,85000
715,719,133.9,9.17,4200,41200
685,689,470.15,14.46,20000,140000
670,674,689.29,18.25,19000,72000
705,709,697.9,13.99,30000,145000
670,674,332.72,12.12,10000,38000
725,729,109.69,12.05,3300,69000
795,799,785.48,12.39,35000,145000
685,689,192.31,15.61,5500,30200
685,689,326.23,19.2,8875,60000
690,694,791.58,14.49,23000,150000
725,729,566.58,11.14,25975,150000
680,684,544.85,17.86,15100,85000
665,669,108.58,13.49,3200,31200
695,699,489.86,13.67,14400,75000
730,734,215.89,6.92,7000,60000
660,664,793.85,23.28,28000,180000
770,774,309.4,7.14,10000,80000
660,664,214.73,17.27,6000,43000
670,674,498.98,23.63,17475,50000
705,709,242.64,11.53,11025,24000
680,684,92.06,12.54,5000,54996
680,684,324.97,18.92,8875,51500
675,679,237.65,13.53,7000,55000
680,684,280.79,15.88,8000,36000
670,674,616.39,12.69,18375,45000
695,699,1079.91,13.11,32000,95000
675,679,717.53,13.98,21000,60000
750,754,340.88,6.03,11200,54000
670,674,341.68,13.98,10000,107000
670,674,667.64,12.35,20000,90000
700,704,482.23,15.61,20000,72000
710,714,632.93,8.67,20000,80000
690,694,365.31,11.99,11000,70000
700,704,447.12,14.33,19075,54000
740,744,301.15,5.32,10000,85000
660,664,689.16,18.24,27000,135000
785,789,368.08,7.26,11875,48000
745,749,267.79,9.17,8400,67000
785,789,296.29,6.97,9600,50000
675,679,163.18,10.78,5000,120000
670,674,521.46,19.24,20000,69030
800,804,301.15,5.32,10000,55000
690,694,581.45,13.98,25000,87500
695,699,658.65,14.49,28000,1e+05
690,694,273.78,14.09,8000,75000
675,679,530.64,17.77,21000,65000
705,709,498.59,7.62,16000,78000
705,709,208.41,9.17,10000,37000
715,719,155.51,12.85,4625,82200
675,679,393.66,17.27,11000,40000
715,719,773.3,7.12,25000,62000
670,674,388.13,17.57,10800,40000
695,699,375.77,11.47,11400,80000
710,714,518.14,15.8,21400,48600
675,679,175.37,19.52,4750,55000
700,704,418.59,18.49,11500,35000
700,704,398.92,12.35,11950,49900
730,734,645.25,9.99,20000,74000
665,669,302.74,14.46,8800,72000
795,799,872.52,7.62,28000,170000
720,724,375.49,7.9,12000,60000
720,724,435.82,15.8,18000,60000
695,699,905.59,10.16,28000,98800
665,669,385.79,15.61,16000,80000
685,689,1195.88,13.98,35000,240000
670,674,376.76,21,10000,39200
735,739,693.06,18.55,19025,70000
680,684,902.29,23.28,31825,79800
665,669,778.85,13.35,23000,123000
695,699,420.07,14.09,12275,39000
660,664,246.64,14.16,7200,48000
675,679,544.17,18.25,15000,82000
660,664,259.99,10.49,8000,35000
685,689,139.27,15.31,4000,30000
680,684,220.32,12.35,6600,56000
695,699,344.2,7.9,11000,60000
720,724,369.54,10.99,17000,70000
670,674,796.32,21.18,29325,70000
685,689,149.17,11.86,4500,61200
690,694,463.09,6.99,15000,161000
720,724,45.57,13.06,2000,36000
715,719,274.97,10.99,8400,75000
715,719,355.72,10.15,11000,46700
660,664,164.96,11.53,5000,40000
685,689,40.44,19.2,1100,28000
675,679,571.68,22.47,20500,75000
680,684,468.92,19.2,18000,94000
670,674,338.22,22.99,12000,24000
750,754,443.05,8.67,14000,82000
690,694,321.13,9.67,10000,50000
665,669,296.47,12.99,8800,20000
700,704,570.82,16.29,23325,109000
690,694,545.92,9.67,17000,60000
670,674,747.88,7.62,24000,75000
700,704,194.06,10.16,6000,83200
725,729,750.97,7.9,24000,230000
740,744,247.97,7.26,8000,48000
735,739,593.06,11.44,18000,140000
680,684,406.88,16.99,16375,41000
680,684,321.11,12.49,9600,42000
685,689,719.46,21.49,26325,66000
705,709,114.56,15.1,3300,22000
735,739,454.42,6.62,14800,80010.46
660,664,146.16,15.27,4200,65000
660,664,277.72,15.1,8000,40000
695,699,355.72,10.15,11000,51000
710,714,383.25,15.31,16000,95000
705,709,720.5,19.47,27500,105000
695,699,475.06,11.53,14400,65300
700,704,261.88,10.99,8000,65000
745,749,628.39,8.18,20000,67000
675,679,423.61,16.29,12000,57000
660,664,107.17,23.5,2750,56000
725,729,1274.98,9.16,40000,125000
665,669,140.24,15.8,4000,52000
705,709,946.68,20.99,35000,88000
770,774,598.83,15.31,25000,75000
675,679,665.44,12.12,20000,90000
705,709,507.8,13.33,15000,101000
815,819,451.73,5.32,15000,115200
660,664,573.83,9.17,18000,70000
690,694,446.27,11.67,13500,93000
710,714,230.26,13.53,10000,40000
685,689,325.45,13.98,9525,40000
710,714,502.23,17.57,13975,49000
745,749,237.1,16.2,6725,38000
670,674,425.55,10.99,13000,40000
665,669,347.04,18.75,9500,34528
705,709,613.28,17.57,24375,61000
795,799,155.26,8.88,7500,43000
665,669,796.73,15.88,22700,120000
755,759,1093.77,13.35,32300,80000
660,664,633.42,11.53,19200,123500
685,689,586.91,19.05,16000,75000
710,714,668.79,13.35,19750,45000
720,724,872.52,7.62,28000,85000
675,679,373.92,17.14,15000,60000
785,789,182.62,6.03,6000,42000
695,699,647.66,6.92,21000,126000
705,709,704.45,12.69,21000,135000
660,664,111.41,17.57,3100,44000
670,674,760.34,21.18,28000,64474
800,804,302.56,8.39,9600,52056
680,684,331.11,19.99,12500,35000
660,664,516.48,14.64,14975,1e+05
670,674,625.09,19.19,24000,80000
690,694,314.42,12.12,9450,41000
680,684,196.78,14.09,5750,42000
670,674,410.08,13.99,12000,56791
660,664,441.73,21.98,16000,50000
665,669,509.71,15.99,14500,33092
715,719,377.26,11.14,11500,35000
715,719,490.27,13.99,21075,55000
725,729,363.97,12.99,16000,105000
695,699,267.29,12.99,11750,65000
680,684,629.6,24.08,21850,60000
670,674,310.31,17.86,8600,52000
670,674,625.72,7.89,20000,126500
725,729,365.81,18.85,10000,80600
685,689,195.42,10.64,6000,69000
680,684,434.75,10.99,20000,67000
665,669,438.36,18.75,12000,57000
665,669,675.77,13.99,19775,110000
680,684,353.24,9.67,11000,42500
715,719,504.27,8.39,16000,64000
685,689,307.04,6.62,10000,68000
695,699,242.58,13.68,10500,30000
690,694,205.01,13.98,6000,60000
705,709,357.88,17.27,10000,60000
700,704,317.54,8.9,10000,95000
715,719,207.3,7.9,6625,22580
680,684,133.87,12.53,4000,67464
710,714,389.03,18.99,15000,39000
675,679,360.08,9.75,11200,63000
665,669,342.56,14.16,10000,55000
705,709,222.28,8.9,7000,37000
670,674,486.26,15.99,20000,65000
685,689,133.09,12.12,4000,37000
660,664,412.82,14.46,12000,92004
735,739,1005.29,7.12,32500,275000
665,669,673.79,12.99,20000,1e+05
685,689,980.65,22.7,35000,2e+05
665,669,253.18,8.67,8000,60000
705,709,429.91,14.16,12550,30000
725,729,373.88,12.35,11200,105000
675,679,669.01,22.45,24000,55000
660,664,173.28,14.98,5000,40000
815,819,76.09,6.03,2500,125000
725,729,319.58,6.03,10500,32000
695,699,944.71,20.89,35000,160000
660,664,513.54,19.05,14000,49000
680,684,831.82,23.43,29250,95000
770,774,257.05,9.71,8000,1e+05
800,804,200.99,12.59,6000,65000
730,734,362.03,11.36,11000,70000
725,729,391.28,10.99,18000,130000
710,714,682.06,16.78,27575,77000
705,709,869.66,16.99,35000,70000
685,689,1138.4,19.72,30750,99000
725,729,787.92,8.39,25000,110000
680,684,320.83,16.99,9000,50000
720,724,803.02,20.49,30000,60000
670,674,359.38,17.57,10000,60000
740,744,493.73,12.39,22000,130000
735,739,290.73,15.31,8350,49000
660,664,233.48,12.29,7000,83500
665,669,196.68,15.61,5625,45000
730,734,508.68,18.25,19925,50000
675,679,201.27,12.69,6000,60000
695,699,1009.09,12.88,30000,72000
775,779,639.15,6.03,21000,150000
665,669,465.53,10.49,14325,72500
710,714,750.97,7.9,24000,150000
665,669,241.12,15.61,10000,65000
750,754,330.44,6.54,15000,122000
685,689,754.81,24.5,25975,65000
725,729,369.54,10.99,17000,44574
690,694,166.03,19.47,4500,38000
710,714,172.8,24.5,4375,15096
670,674,615.03,13.98,18000,45000
735,739,474.89,6.97,24000,104000
675,679,471.3,8.18,15000,65000
680,684,411.33,7.62,13200,91000
670,674,308.41,13.99,9025,105000
685,689,329.91,11.53,10000,25000
725,729,1052.01,9.17,33000,90000
740,744,343.39,14.33,10000,50000
